customer_id,first_name,last_name,email,phone,region,created_at,updated_at
CUST_000459,Fatima,Patel,fatima.patel459@example.com,414-545-5118,North,2025-08-08T14:02:06.776383Z,2025-12-31T01:59:34.184431Z
CUST_000589,Fatima,Davis,fatima.davis589@example.com,815-466-7336,East,2025-07-28T22:00:07.485168Z,2026-02-05T11:59:12.466173Z
CUST_000528,Divya,Reddy,divya.reddy528@example.com,918-972-3764,Central,2025-02-20T19:16:09.093387Z,2025-11-15T11:10:36.123050Z
CUST_000462,Emily,Iyer,emily.iyer462@example.com,476-307-6503,South,2025-02-15T01:17:08.116506Z,2026-02-17T14:29:26.179517Z
CUST_001861,Lisa,Brown,lisa.brown1861@example.com,889-332-8612,South,2026-02-24T21:09:06.232698Z,2026-03-02T21:39:46.948857Z
CUST_001265,Nina,Kulkarni,nina.kulkarni1265@example.com,553-124-9724,North,2026-02-18T16:45:05.697467Z,2026-06-16T14:11:50.189441Z
CUST_001919,Emily,Rossi,emily.rossi1919@example.com,467-964-8679,East,2025-03-02T17:58:54.213183Z,2026-02-07T07:20:18.532257Z
CUST_001470,Rohan,Kulkarni,rohan.kulkarni1470@example.com,798-900-6623,North,2026-04-06T09:45:16.959298Z,2026-04-11T16:46:47.154594Z
CUST_000976,Omar,Miller,omar.miller976@example.com,780-285-1395,East,2024-08-27T09:58:26.840848Z,2025-04-05T00:46:29.890691Z
CUST_001774,Fatima,Schmidt,fatima.schmidt1774@example.com,712-634-3115,East,2025-02-23T20:33:55.415688Z,2025-02-26T22:32:51.983102Z
CUST_001139,Meera,Miller,meera.miller1139@example.com,569-828-6619,North,2024-08-10T00:06:30.809047Z,2026-05-18T16:12:13.154985Z
CUST_000396,Arjun,Johnson,arjun.johnson396@example.com,492-572-3727,South,2025-06-08T01:44:33.947572Z,2026-07-09T04:29:53.677486Z
CUST_000508,Omar,Johnson,omar.johnson508@example.com,512-217-6531,East,2026-07-06T01:29:42.905307Z,2026-07-08T13:36:32.945196Z
CUST_000095,Emily,Miller,emily.miller95@example.com,807-598-9633,North,2026-06-26T12:38:03.008060Z,2026-07-17T06:19:13.804624Z
CUST_000485,Priya,Johnson,priya.johnson485@example.com,772-857-8593,West,2025-06-08T04:16:19.671670Z,2026-02-15T20:30:07.685572Z
CUST_000516,Noah,Johnson,noah.johnson516@example.com,632-762-1606,South,2026-02-25T00:16:50.842570Z,2026-06-16T08:42:35.184533Z
CUST_001534,Rohan,Kulkarni,rohan.kulkarni1534@example.com,414-640-9237,East,2026-05-16T17:07:49.085895Z,2026-05-19T18:15:39.515568Z
CUST_001489,Lisa,Clark,lisa.clark1489@example.com,829-557-3513,West,2024-11-01T19:38:39.291173Z,2026-02-26T18:44:33.101224Z
CUST_001599,Lukas,Jones,lukas.jones1599@example.com,367-163-4303,North,2024-09-29T18:39:38.956740Z,2025-04-24T01:05:05.846817Z
CUST_000584,Lukas,Desai,lukas.desai584@example.com,753-272-5016,West,2024-12-24T17:28:02.001049Z,2026-01-10T14:53:39.303300Z
CUST_001001,Liam,Tan,liam.tan1001@example.com,377-756-6138,West,2026-03-08T01:19:24.197382Z,2026-07-24T11:34:03.863760Z
CUST_001360,Rohan,Davis,rohan.davis1360@example.com,948-475-5364,North,2025-04-28T17:22:43.307912Z,2026-05-02T11:31:53.875569Z
CUST_001231,Ananya,Desai,ananya.desai1231@example.com,503-414-5335,North,2024-10-16T05:55:37.338713Z,2026-04-27T01:09:55.414804Z
CUST_001707,Ava,Patel,ava.patel1707@example.com,746-234-1070,East,2025-08-14T07:40:59.002913Z,2026-03-07T14:39:26.428909Z
CUST_001931,Grace,Johnson,grace.johnson1931@example.com,685-517-6832,North,2025-10-07T03:25:51.509421Z,2026-02-03T13:30:44.908878Z
CUST_000531,Emily,Tan,emily.tan531@example.com,210-580-3182,East,2025-11-13T12:43:13.747986Z,2025-12-04T12:45:27.771861Z
CUST_001560,Mei,Williams,mei.williams1560@example.com,449-239-6464,North,2024-11-07T00:01:51.483807Z,2026-03-28T06:39:29.093821Z
CUST_000096,Vikram,Smith,vikram.smith96@example.com,709-864-8055,North,2024-12-01T22:14:32.585864Z,2024-12-08T21:51:22.075576Z
CUST_000503,Vikram,Johnson,vikram.johnson503@example.com,876-869-9518,East,2024-11-07T06:18:42.522084Z,2025-01-24T15:32:16.568787Z
CUST_001582,Emily,Schmidt,emily.schmidt1582@example.com,905-432-3227,Central,2025-12-22T11:40:12.431579Z,2026-02-27T09:10:59.233066Z
CUST_001761,Sofia,Rao,sofia.rao1761@example.com,357-306-7471,Central,2026-04-28T17:03:36.922806Z,2026-06-23T04:26:05.402853Z
CUST_001198,Ananya,Brown,ananya.brown1198@example.com,731-282-5512,North,2026-07-16T14:39:53.731057Z,2026-07-24T01:43:44.356441Z
CUST_000196,Emily,Clark,emily.clark196@example.com,810-241-7286,North,2025-09-02T17:44:58.676604Z,2026-04-04T05:35:10.513426Z
CUST_001146,Fatima,Johnson,fatima.johnson1146@example.com,636-308-3685,East,2025-09-30T09:19:34.725150Z,2025-12-21T17:40:04.079928Z
CUST_000418,Fatima,Patel,fatima.patel418@example.com,636-501-3932,North,2024-09-25T20:53:44.733337Z,2024-12-22T14:39:22.327617Z
CUST_001460,Sofia,Khan,sofia.khan1460@example.com,590-871-1821,South,2024-12-23T02:41:42.510966Z,2025-10-06T14:56:18.067540Z
CUST_001144,Laura,Sharma,laura.sharma1144@example.com,987-714-1838,South,2026-05-18T17:42:35.301525Z,2026-06-26T03:54:15.970592Z
CUST_000334,Lukas,Nair,lukas.nair334@example.com,548-219-9409,East,2025-12-29T18:16:44.464276Z,2026-03-14T12:36:30.807369Z
CUST_001892,Aarav,Johnson,aarav.johnson1892@example.com,780-574-3243,Central,2025-12-18T09:44:41.054462Z,2026-06-21T14:01:13.241359Z
CUST_001673,David,Sharma,david.sharma1673@example.com,621-870-8018,North,2025-03-30T07:45:15.465784Z,2025-10-02T08:58:27.620903Z
CUST_001353,David,Lim,david.lim1353@example.com,990-733-8691,West,2026-03-29T11:49:35.797136Z,2026-05-02T06:27:26.574865Z
CUST_001340,Olivia,Jones,olivia.jones1340@example.com,726-168-7962,South,2025-12-31T08:16:58.702573Z,2026-03-14T11:16:16.448263Z
CUST_001622,Noah,Weber,noah.weber1622@example.com,469-629-9574,East,2025-09-21T07:11:03.727629Z,2025-10-06T10:49:23.815184Z
CUST_001296,Lukas,Rao,lukas.rao1296@example.com,219-132-1943,West,2026-07-18T13:06:19.346377Z,2026-07-25T20:37:01.791775Z
CUST_001412,Nina,Williams,nina.williams1412@example.com,929-837-5395,West,2025-09-16T20:21:12.378003Z,2026-07-13T07:27:23.591729Z
CUST_000300,Emily,Davis,emily.davis300@example.com,240-798-6258,North,2026-05-20T03:24:16.566479Z,2026-06-20T23:18:01.955604Z
CUST_000166,Chen,Ahmed,chen.ahmed166@example.com,540-410-1251,East,2025-12-04T23:07:47.790973Z,2026-01-26T15:58:15.729417Z
CUST_001812,Chen,Williams,chen.williams1812@example.com,866-545-7961,North,2025-10-26T22:33:51.392142Z,2026-07-06T16:03:03.104758Z
CUST_000926,Chen,Khan,chen.khan926@example.com,959-307-6956,Central,2026-01-19T03:21:32.070461Z,2026-03-18T08:35:34.887730Z
CUST_000214,Noah,Tan,noah.tan214@example.com,981-582-2195,South,2026-02-11T08:13:02.967394Z,2026-03-27T01:50:25.531219Z
CUST_000465,Aarav,Miller,aarav.miller465@example.com,951-887-9261,Central,2024-09-11T15:51:51.730494Z,2026-01-05T03:28:31.252194Z
CUST_000278,Emily,Williams,emily.williams278@example.com,667-378-7319,North,2025-09-15T13:41:56.835620Z,2026-04-07T05:07:08.729987Z
CUST_000253,Fatima,Clark,fatima.clark253@example.com,907-343-1807,South,2025-09-10T11:01:21.857091Z,2026-02-26T09:19:17.883788Z
CUST_000186,Chen,Desai,chen.desai186@example.com,898-886-1440,East,2026-02-10T22:13:28.836433Z,2026-03-28T09:53:44.072518Z
CUST_001775,James,Nair,james.nair1775@example.com,862-884-4600,East,2025-01-10T00:47:41.378110Z,2025-09-17T23:35:24.751232Z
CUST_000650,Grace,Reddy,grace.reddy650@example.com,346-375-4432,North,2026-03-10T09:00:10.856046Z,2026-06-06T15:00:06.073234Z
CUST_001184,Noah,Desai,noah.desai1184@example.com,851-191-9486,North,2025-03-14T13:46:40.573284Z,2026-03-06T02:47:48.337476Z
CUST_001824,David,Jones,david.jones1824@example.com,267-373-8994,South,2025-07-07T05:23:50.258251Z,2026-04-21T20:32:03.649685Z
CUST_000649,Liam,Miller,liam.miller649@example.com,908-409-9202,North,2025-10-12T12:37:19.769584Z,2026-02-18T13:48:56.969220Z
CUST_000495,Rohan,Iyer,rohan.iyer495@example.com,556-460-3630,West,2025-05-12T19:15:32.597935Z,2026-03-04T02:06:52.606217Z
CUST_001544,Michael,Rao,michael.rao1544@example.com,586-926-5176,North,2026-01-16T21:26:04.036660Z,2026-02-06T03:39:44.484260Z
CUST_001566,Nina,Miller,nina.miller1566@example.com,507-837-1394,North,2025-11-20T08:22:52.725658Z,2026-04-23T11:37:34.367793Z
CUST_000453,Daniel,Lim,daniel.lim453@example.com,308-216-9145,North,2026-03-29T02:51:12.446915Z,2026-04-06T10:51:53.773774Z
CUST_001337,Fatima,Kulkarni,fatima.kulkarni1337@example.com,768-651-7217,South,2024-09-01T15:22:45.013228Z,2025-03-16T20:34:03.840115Z
CUST_000387,Divya,Schmidt,divya.schmidt387@example.com,463-999-7343,North,2024-10-03T00:35:17.236540Z,2026-07-05T04:21:57.411929Z
CUST_001738,Ananya,Ahmed,ananya.ahmed1738@example.com,797-155-6231,West,2026-07-13T23:05:48.674219Z,2026-07-20T16:40:36.557336Z
CUST_000885,Michael,Clark,michael.clark885@example.com,292-625-4452,Central,2026-02-16T01:59:07.542145Z,2026-04-25T21:40:11.498293Z
CUST_000185,Nina,Williams,nina.williams185@example.com,498-852-9044,North,2025-09-12T10:24:17.856156Z,2026-02-22T12:23:07.977343Z
